run,idx,name,opt,model_anneal,gap_pct
cvrp_full_mh_25-25-25-25,48,X-n327-k20,27.67035175879397,28.554153442382812,3.19403848
cvrp_full_mh_25-25-25-25,49,X-n331-k15,31.133133133133132,32.59117126464844,4.68323611
cvrp_full_mh_25-25-25-25,50,X-n336-k84,139.25025025025025,141.88650512695312,1.89317784
cvrp_full_mh_25-25-25-25,51,X-n344-k43,42.1765295887663,42.97053146362305,1.88256806
cvrp_full_mh_25-25-25-25,52,X-n351-k40,25.896,26.69521713256836,3.08625708
cvrp_full_mh_25-25-25-25,53,X-n359-k29,51.505,52.79086685180664,2.49658645
cvrp_full_mh_25-25-25-25,54,X-n367-k17,24.82480957562568,25.679550170898438,3.44309024
cvrp_full_mh_25-25-25-25,55,X-n376-k94,147.86086086086087,148.199951171875,0.22933068
cvrp_full_mh_25-25-25-25,56,X-n384-k52,66.07214428857715,67.40226745605469,2.01313758
cvrp_full_mh_25-25-25-25,57,X-n393-k38,38.52970795568983,39.23974609375,1.84283291
cvrp_full_mh_25-25-25-25,58,X-n401-k29,66.154,67.93209075927734,2.68780536
cvrp_full_mh_25-25-25-25,59,X-n411-k19,19.99188640973631,20.50877571105957,2.58549539
cvrp_full_mh_25-25-25-25,60,X-n420-k130,108.12236710130391,110.94281768798828,2.60857273
cvrp_full_mh_25-25-25-25,61,X-n429-k61,65.71184738955823,67.16172790527344,2.20642178
cvrp_full_mh_25-25-25-25,62,X-n439-k37,36.500501504513544,36.95658493041992,1.24952646
cvrp_full_mh_25-25-25-25,63,X-n449-k29,55.233,56.75022506713867,2.74695394
cvrp_full_mh_25-25-25-25,64,X-n459-k26,25.25,25.90491485595703,2.59372220
cvrp_full_mh_25-25-25-25,65,X-n469-k138,222.2685370741483,229.8486328125,3.41033231
cvrp_full_mh_25-25-25-25,66,X-n480-k70,89.8082329317269,91.95543670654297,2.39087632
